题号,题型,知识域,难度,题干,选项A,选项B,选项C,选项D,答案,解析,考点
Q023,单选,同态加密,挑战,FHE 中自举（bootstrapping）的作用是？,生成密钥,压缩密文,在密文域刷新噪声、恢复同态计算能力,加速解密,C,同态乘法会持续增长噪声、乘法深度受限；自举通过同态执行解密电路重置噪声、但计算代价很高、也正是 FHE 硬件加速器的主要负载。,自举
Q024,单选,同态加密,进阶,Paillier 密码体制的同态性质是？,乘法同态,加法同态,全同态,无同态性,B,Paillier 满足加法同态（密文相乘等于明文相加）、RSA 与 ElGamal 为乘法同态；两者均被 ISO/IEC 18033-6 收录。,部分同态
Q025,单选,密码实现,进阶,密码算法恒定时间（constant-time）实现的核心要求是？,所有运算并行执行,执行时间与内存访问模式不依赖秘密数据,时钟频率固定不变,必须使用专用芯片,B,恒定时间为防时序侧信道：避免以秘密值为条件的分支与查表；AES 查表实现被缓存计时攻击是典型反例。,恒定时间
Q026,单选,密码实现,进阶,TRNG 熵源评估与在线健康测试依据的核心标准是？,NIST SP 800-90B,ISO/IEC 11889,FIPS 197,GM/T 0005,A,SP 800-90B 规定熵源估计与在线健康测试（重复计数测试、自适应比例测试）；SP 800-22 是统计测试套件、AIS-31 是德国 BSI 的随机数评估标准。,TRNG
Q027,单选,架构安全特性,进阶,x86 上由影子栈（SHSTK）与间接分支跟踪（IBT）组成的控制流强制技术是？,CET,MPK,SMEP,TXT,A,CET 即控制流强制技术；MPK/PKS 是页保护键、SMEP 禁止内核执行用户态页面、TXT 是 DRTM 动态度量。,CET
Q028,单选,架构安全特性,进阶,RISC-V 标量加密扩展中、对应国密 SM4 与 SM3 的扩展分别是？,Zkne 与 Zknh,Zksed 与 Zksh,Zbkb 与 Zbkc,Zknd 与 Zknh,B,Zksed/Zksh 即 SM4 分组密码与 SM3 杂凑指令；Zkne/Zknd/Zknh 对应 AES 与 SHA-2——国密算法已进入 RISC-V 标准扩展。,Zk 扩展
Q029,单选,侧信道攻击,基础,SPA（简单功耗分析）最典型的攻击对象是？,AES 的 S 盒运算,RSA 的平方-乘法操作序列,SHA-3 的海绵结构,SM4 的轮密钥加,B,RSA 指数的每个比特决定当轮执行平方还是乘法、在单条功耗曲线上形态可辨、因此无需统计即可读出私钥；缓解为恒定时间模幂与指数盲化。,SPA
Q030,单选,侧信道攻击,基础,抵御 DPA 的主流实现级手段是？,增加密钥长度,换用 RSA 算法,掩码（Masking）,提高时钟频率,C,掩码把秘密拆成多份共享分别处理；隐藏（加噪、乱序、双轨逻辑）是另一条路线——两者常组合使用并显著增加面积与性能开销。,DPA 防护
Q031,单选,侧信道攻击,基础,激光故障注入在攻击分类中属于？,非侵入,半侵入,侵入,远程攻击,B,激光注入需要开封去封装但不接触或修改电路、属于半侵入；空间与时间精度最高、可翻转 SRAM 单比特或跳过单条指令。,故障注入分类
Q032,单选,侧信道攻击,进阶,CPA 攻击中、假设功耗与实测曲线之间通常用什么统计量进行匹配？,方差,皮尔逊相关系数,峰度,傅里叶幅值,B,CPA（Brier 等、2004）以 S 盒输出的汉明重量作为假设功耗、与实测功耗计算相关系数、相关性峰值对应的子密钥猜测即正确密钥。,CPA
Q033,单选,侧信道攻击,进阶,侧信道泄漏建模中的汉明距离（HD）模型适用于？,总线或寄存器从上一状态翻转到下一状态的场景,静态泄漏电流,时钟树功耗,芯片散热,A,HD 模型刻画前后两个状态的翻转位数（如寄存器更新、总线传输）、HW 模型刻画当前置位个数——泄漏模型选错会显著降低攻击效率。,泄漏模型
Q034,单选,侧信道攻击,进阶,TVLA 的本质是？,一种密钥恢复攻击,固定输入对比随机输入的 Welch t 检验泄漏评估方法,密钥生成协议,认证协议,B,TVLA（Test Vector Leakage Assessment）不恢复密钥、只判定实现是否存在与密钥相关的泄漏；一阶与高阶检测分别对应无掩码与不同阶数掩码的评估。,TVLA
Q035,单选,侧信道攻击,进阶,Bellcore 攻击从 RSA-CRT 错误签名恢复私钥的依据是？,gcd(s−s′、N) = p,出现了新的分解算法,私钥经侧信道泄漏,暴力枚举成功,A,正确签名与错误签名的差与模数 N 的最大公约数即素数 p、一次故障即可分解 N——因此 RSA-CRT 签名后必须用公钥验签。,Bellcore
Q036,单选,侧信道攻击,挑战,对 AES 最后几轮注入单字节故障、利用正确与错误密文的差分恢复轮密钥的技术是？,差分故障分析（DFA）,差分功耗分析（DPA）,中间相遇攻击,积分攻击,A,DFA（如 Piret-Quisquater 方法）仅需少量故障即可恢复 AES-128 轮密钥；防护依赖冗余计算、校验与故障检测。,DFA
Q037,单选,侧信道防护,进阶,有源屏蔽（active shield）的作用是？,辅助散热,顶层金属网被探测或破坏即触发报警并清零密钥,提高时钟精度,降低动态功耗,B,屏蔽网布于芯片顶层、攻击者开封后探针或激光一旦接触即触发响应——是抗侵入与激光注入的重要手段。,有源屏蔽
Q038,单选,侧信道防护,进阶,冷启动攻击针对的对象是？,CPU 通用寄存器,DRAM 断电后的数据残留,Flash 磨损,电池电路,B,断电后立刻冷却 DRAM 可延长数据残留时间、进而读出内存中的密钥（Halderman 等、2008）；缓解包括开机内存清零、内存加密与 TPM 密封。,冷启动
Q039,单选,硬件可信根,基础,安全启动与可信启动的本质区别是？,前者用哈希、后者用签名,前者阻断执行、后者只记录度量,前者必须搭配 TPM,两者完全等价,B,安全启动逐级验签、验不过就拒绝执行；可信启动逐级度量进 PCR、不阻断、事后通过 Quote 向远端证明系统状态。,安全启动
Q040,单选,硬件可信根,基础,TPM 的 PCR 状态更新运算为？,直接覆盖写入,数值累加,PCR′ = Hash(PCR ‖ 新度量值),清零后重算,C,extend 运算保证度量历史不可伪造；PCR 重启时清零、配合密封与 Quote 使用。,PCR
Q041,单选,硬件可信根,基础,FIPS 140-3 中提供温度电压等环境失配防护的最高等级是？,Level 1,Level 2,Level 3,Level 4,D,Level 1 无物理防护要求、Level 2 要求防篡改指示（封条涂层）、Level 3 要求篡改响应清零与身份认证、Level 4 增加环境失配防护。,FIPS 140-3
Q042,单选,硬件可信根,进阶,PUF 相比 OTP 存储密钥的主要优势是？,运算速度更快,密钥不落入存储介质、由制造随机性现场生成、抗克隆与读取,功耗更低,不需要供电,B,典型实现有 SRAM PUF（上电状态）与环形振荡器 PUF（频率差）；需配合模糊提取器与辅助数据（helper data）纠正温度和老化带来的抖动。,PUF
Q043,单选,硬件可信根,进阶,TPM 中代表设备唯一身份的密钥是？,AK,EK,SRK,DEK,B,EK（背书密钥）出厂生成并配套证书、用于设备身份；AK（证明密钥）为 Quote 签名以保护隐私；SRK 是存储根密钥。,TPM 密钥层次
Q044,单选,硬件可信根,进阶,TPM 密封（sealing）将受保护数据绑定到什么之上？,可信时间戳,指定 PCR 状态,网络地址,用户口令,B,只有系统处于指定度量状态（配置健康）时才能解密被密封的数据——磁盘加密（如 BitLocker）是典型应用。,密封
Q045,单选,硬件可信根,挑战,Intel DRTM（动态度量启动）的实现机制是？,SINIT ACM 启动的 TXT,SMM 处理程序,Boot Guard,管理引擎 ME,A,TXT 通过 SINIT ACM 在系统运行中随时重建度量环境（AMD 对应 SKINIT）、弥补 SRTM 只覆盖静态启动链的不足。,DRTM
Q046,单选,硬件可信根,进阶,国内商密体系中服务器密码机遵循的标准是？,GM/T 0028,GM/T 0030,GM/T 0018,GB/T 32907,B,GM/T 0030《服务器密码机技术规范》；GM/T 0028 是密码模块安全技术要求、GM/T 0018 是密码设备应用接口（SDF）、GB/T 32907 是 SM4 标准。,SSM
Q047,单选,硬件可信根,进阶,与 TPM 并列的中国可信密码模块 TCM 采用的算法体系是？,RSA 与 SHA-1,国密 SM2/SM3/SM4,纯对称算法,完全私有的算法,B,TCM 可信密码模块采用国密算法体系（接口规范为 GM/T 0012）；TPCM 可信平台控制模块进一步体现可信计算 3.0 双体系主动免疫架构。,TCM
Q048,单选,硬件可信根,基础,安全启动信任链的信任锚通常是？,网络时间服务,Boot ROM 代码与 OTP 中的公钥哈希,云端白名单,SIM 卡,B,Boot ROM 不可改写、OTP 中的公钥哈希防止攻击者直接替换验签公钥；防回滚依赖版本号单调递增（OTP 计数或熔丝）。,信任锚
Q049,单选,TEE,基础,ARM TrustZone 中负责安全世界与普通世界切换的是？,TZASC,EL3 的 Secure Monitor,RMM,GIC,B,普通世界执行 SMC 指令陷入 EL3、由 Secure Monitor（事实标准为 ARM Trusted Firmware）保存恢复上下文并切换世界。,TrustZone
Q050,单选,TEE,基础,Intel SGX 的威胁模型不承诺防御的是？,恶意 OS 直接读取飞地明文,被攻陷内核篡改飞地内容,缓存侧信道观测,其他进程的越权访问,C,SGX 把信任边界收缩到 CPU、能防御 OS 与其他应用、但明确不承诺防御侧信道——Foreshadow、Plundervolt、SGAxe 等攻击均已证实。,SGX
Q051,单选,TEE,基础,AMD SEV-SNP 相比 SEV-ES 新增的关键能力是？,虚机内存加密,VM 状态加密,内存完整性保护与远程证明,调试通道,C,SEV 提供每虚机内存加密、SEV-ES 增加退出进出时的 VM 状态加密、SEV-SNP 再以反向映射表（RMP）提供内存完整性并支持远程证明。,SEV-SNP
Q052,单选,TEE,基础,ARM CCA 相比 TrustZone 新增的两个安全状态是？,Kernel 与 User,Root 与 Realm,Supervisor 与 Hypervisor,Secure 与 Non-secure,B,RME 在原有 Non-secure 与 Secure 之外新增 Root（EL3 Monitor）与 Realm（机密执行环境）两个状态、共四个安全状态。,ARM CCA
Q053,单选,TEE,进阶,TrustZone 中控制安全内存区域访问的硬件模块是？,TZPC,TZASC,MMU,SMMU,B,TZASC（TrustZone Address Space Controller）划定安全 DRAM 区间、TZPC 配置外设的安全属性——两者共同构成 TrustZone 的资源隔离。,TZASC
Q054,单选,TEE,挑战,SGX 早期采用的远程证明方案是？,EPID,DCAP,RSA-PSS,WebAuthn,A,EPID 是群签名方案、验证依赖 Intel 的证明服务；后演进为基于 ECDSA 的 DCAP、摆脱对 EPID 服务的依赖。,SGX 证明
Q055,单选,TEE,进阶,云上机密虚机（CVM）的代表技术组合是？,SGX 与 Trusty,SEV-SNP / TDX / CCA Realm,TPM 与 BitLocker,NFC 与 SE,B,AMD SEV-SNP、Intel TDX 与 ARM CCA Realm 都以虚机为隔离粒度、配套内存加密、完整性与远程证明、是公有云机密计算的主流。,机密虚机
Q056,单选,TEE,进阶,2024 年公开的、通过 DDR 内存总线信号注入绕过 SEV-SNP/TDX/SGX 完整性校验的攻击是？,TEE.Fail,Rowhammer,Spectre,Logjam,A,TEE.Fail 利用内存总线欠速使读数出错、从而绕过完整性校验——说明云机密计算面对强物理攻击者仍有开放问题。,TEE.Fail
Q057,单选,微架构安全,基础,Meltdown 的根本原因是？,缓存容量过大,分支预测错误,乱序执行窗口内越权数据已进入缓存、而权限检查延迟到指令退休时才生效,DRAM 电荷泄漏,C,异常抛出前秘密数据已被缓存编码、攻击者用 Flush+Reload 逐字节恢复；缓解为 KPTI 内核页表隔离——AMD 因权限检查并行化基本免疫。,Meltdown
Q058,单选,微架构安全,基础,Spectre v2 利用的微架构部件是？,分支目标缓冲器（BTB）,TLB,存储缓冲,中断控制器,A,Spectre v2 即分支目标注入、通过污染 BTB 引导内核推测执行攻击者选择的 gadget；v1 是边界检查绕过、v4 是推测存储绕过。,Spectre v2
Q059,单选,微架构安全,进阶,缓解 Meltdown 的操作系统级措施是？,retpoline,KPTI 内核页表隔离,IBPB,堆地址随机化,B,KPTI（源于 KAISER）使用户态页表几乎不映射内核空间、使攻击者无地址可读；retpoline 与 IBPB 针对 Spectre v2。,KPTI
Q060,单选,微架构安全,进阶,Rowhammer 属于哪一类攻击？,瞬态执行攻击,DRAM 扰动故障类攻击,网络协议攻击,时序侧信道攻击,B,反复高频激活同一 DRAM 行导致相邻行位翻转、本质是故障注入；缓解包括目标行刷新（TRR）与 DDR5 的 ACT-RH 计数器。,Rowhammer
Q061,单选,微架构安全,进阶,需要攻击者与受害者共享物理内存页的缓存攻击原语是？,Prime+Probe,Flush+Reload,Evict+Time,PortSmash,B,Flush+Reload 依赖 clflush 与共享页（共享库或页面去重）、分辨率最高；Prime+Probe 无需共享内存、可跨核使用。,缓存攻击
Q062,单选,微架构安全,挑战,L1TF（Foreshadow）与 Meltdown/Spectre 的关键不同在于？,完全不需要乱序执行,读取页表项 present=0 时 L1 数据缓存中的陈旧数据、可穿透 SGX 与虚机隔离,只影响 AMD 处理器,没有任何缓解措施,B,L1TF 利用缺页表项场景下 L1D 的残留数据、对 SGX 与云虚机威胁最大；缓解包括入口刷新 L1D 与微码更新、彻底修复需禁用超线程。,L1TF
Q063,单选,供应链安全,基础,硬件木马的两个组成部分是？,编译器与调试器,触发器（Trigger）与载荷（Payload）,ROM 与 RAM,传感器与执行器,B,触发器决定何时激活（组合逻辑、时序、物理条件）、载荷决定恶意功能（篡改、泄密、拒绝服务）。,硬件木马
Q064,单选,供应链安全,基础,JTAG 边界扫描对应的 IEEE 标准是？,802.1X,1149.1,ISO/IEC 11889,GM/T 0030,B,IEEE 1149.1 定义了 TAP 控制器与边界扫描；ISO/IEC 11889 是 TPM 标准、GM/T 0030 是服务器密码机规范。,JTAG
Q065,单选,供应链安全,挑战,业界首例在野外发现的 UEFI rootkit 是？,LoJax,MoonBounce,BlackLotus,Stuxnet,A,LoJax（ESET 于 2018 年披露、Sednit 组织）首次将恶意代码写入 UEFI 固件实现跨重装系统持久化。,UEFI rootkit
Q066,单选,供应链安全,挑战,Starbleed（2020 年）攻击的目标是？,Intel SGX,Xilinx 7 系列 FPGA 的比特流加密,ARM TrustZone,TPM 芯片,B,Starbleed 利用 BootROM 缺陷提取比特流加密密钥、可解密并伪造任意固件；由于缺陷在固化的 ROM 中、只能物理更换芯片。,Starbleed
Q067,单选,调试接口,基础,JTAG 标准信号组中不包含以下哪一项？,TCK,TMS,TDI,SCL,D,JTAG 信号为 TCK、TMS、TDI、TDO（外加可选的 TRST）；SCL 是 I2C 总线的时钟线。,JTAG 信号
Q068,单选,调试接口,进阶,返修（RMA）流程中启用调试接口前的正确做法是？,直接打开全部调试功能,先擦除用户密钥、再授权调试,保留密钥便于联调,仅恢复出厂固件,B,生命周期管理原则：量产态锁定调试口、返修时先擦密钥再按流程授权（如 ARM ADAC 认证调试）、防止密钥经维修渠道泄漏。,生命周期
Q069,单选,调试接口,进阶,Apple checkm8 漏洞的特殊性在于？,只影响旧版本系统,位于固化的 BootROM 中、无法通过升级修补,需要物理拆解芯片,只影响基带处理器,B,checkm8 是 A 系列芯片 BootROM 的堆溢出漏洞、冷启动即可利用且永久存在；只能靠后续组件限制利用面。,BootROM
Q070,单选,调试接口,进阶,防御外设 DMA 攻击的关键硬件机制是？,IOMMU,MMU,ASLR,Stack Canary,A,IOMMU 对设备发起的 DMA 做地址重映射与访问控制、防止恶意外设直读系统内存；配套措施包括 SMM 加固与 Thunderbolt 等外 port 策略。,IOMMU
Q071,单选,底软漏洞,挑战,Double-fetch 漏洞的本质是？,缓存连续两次命中,共享内存被检查两次、而检查与使用之间可被并发篡改（TOCTOU）,同一条指令被重复执行,总线数据自动重传,B,典型场景是内核对用户态或设备共享内存先校验后使用、攻击者在两次访问之间篡改数据；Bochspwn 用指令级插桩批量发现了此类漏洞。,Double-fetch
Q072,单选,调试接口,基础,通过量产设备的 UART 调试口、攻击者通常不能直接做到的是？,查看或修改 bootargs,打断 U-Boot autoboot 进入命令行,获取无认证的系统 shell,改写 BootROM 代码,D,BootROM 出厂固化、不可改写；UART 影响的是 bootloader 与系统层——改写 ROM 需要侵入式手段且芯片出厂即固定。,UART
Q073,单选,华为硬件安全,基础,华为基于 ARM TrustZone 构建的自研 TEE 安全操作系统是？,OP-TEE,iTrustee,Trusty,QSEE,B,iTrustee 是华为自研微内核 TEE OS、运行于 TrustZone 安全世界、是鲲鹏 BoostKit 机密计算 TrustZone 套件的核心组件；OP-TEE/Trusty/QSEE 分别属于 Linaro/Google/Qualcomm。,iTrustee
Q074,单选,华为硬件安全,进阶,鲲鹏平台内生国密方案的特点是？,必须搭配外置加密卡,国密算法运行在 TEE 内、REE 侧提供标准 SDF 接口,只支持国际算法,纯软件模拟实现,B,国密 SM2/SM3/SM4 模块运行于鲲鹏 TEE（iTrustee）内、REE 侧提供 GM/T 0018 定义的 SDF 接口、免外置加密卡即可获得合规密码能力。,内生国密
Q075,单选,华为硬件安全,进阶,华为云中提供 KMS、凭据管理、密钥对管理与专属加密（DHSM）的服务是？,OBS,DEW,ECS,CCS,B,DEW（密码安全中心）包含 KMS、CSMS 凭据管理、KPS 密钥对管理与 DHSM 专属加密；密钥由 HSM 保护、主密钥不可导出、应用侧普遍采用信封加密。,DEW
Q076,单选,业界生态,基础,Microsoft 提出并与 AMD、高通等合作集成在 CPU 裸片内的安全处理器是？,SEP,Pluton,Titan M,Nitro,B,Pluton 定位为集成在 CPU 内、可经 Windows Update 升级固件的安全处理器、逐步替代离散 TPM；SEP 属 Apple、Titan M 属 Google、Nitro 属 AWS。,Pluton
Q077,单选,业界生态,基础,Pixel 6 起采用、基于开源项目 OpenTitan 设计的安全芯片是？,Titan M2,SEP,Knox Vault,ATECC608,A,Google 的 Titan M2 基于 OpenTitan 开源设计、承担锁屏节流（Weaver）、Verified Boot 状态与密钥存储；ATECC608 是 Microchip 的独立 SE 芯片。,Titan M2
Q078,单选,业界生态,进阶,AWS 中用于在 EC2 实例内创建隔离执行环境的机密计算服务是？,Nitro Enclaves,Confidential Space,DEW,QingTian Enclave,A,Nitro Enclaves 基于 Nitro 系统在 EC2 内划出隔离环境、并与 KMS 联动；Confidential Space 是 Google Cloud 的、DEW 是华为云的、QingTian Enclave 是华为云的。,Nitro
Q079,单选,标准认证,基础,汽车网络安全工程标准（定义整车开发流程要求）是？,ISO 26262,ISO/SAE 21434,IEC 62443,ISO 9001,B,ISO/SAE 21434 定义汽车网络安全工程流程；ISO 26262 是功能安全（Safety）、IEC 62443 是工业控制安全——注意 Safety 与 Security 之辨。,汽车标准
Q080,单选,标准认证,基础,NIST 于 2023 年选定、编号 SP 800-232 的轻量级密码算法是？,Ascon,Speck,SIMON,Grain,A,Ascon 面向资源受限设备；Speck/SIMON 是 NSA 设计的分组密码、Grain 是流密码、均非 NIST 轻量级密码标准。,轻量级密码
Q081,单选,标准认证,进阶,PSA Certified 认证的最高等级（含渗透测试）是？,Level 1,Level 2,Level 3,Level 4,C,PSA Certified 由 Arm 发起、定义 10 个安全目标：Level 1 为问卷声明、Level 2 为实验室评估、Level 3 增加渗透测试。,PSA Certified
Q082,单选,标准认证,进阶,SESIP 评估标准隶属的标准组织是？,GlobalPlatform,TCG,EMVCo,PCI SSC,A,SESIP（IoT 平台安全评估标准）由 GlobalPlatform 维护、等级 1–3、按攻击者潜力定级；TCG 负责 TPM 与 DICE。,SESIP
Q083,多选,密码算法,基础,下列属于对称密码算法的有？,AES,SM4,RSA,ZUC,ABD,AES 与 SM4 是分组密码、ZUC 是流密码、三者均为对称算法；RSA 是非对称算法。,对称算法
Q084,多选,密码算法,基础,以下哪些算法或参数已不再安全、不应在新系统中使用？,DES,RC4,SHA-1,RSA-1024,ABCD,DES 可暴力破解、RC4 存在统计偏差、SHA-1 已被实际碰撞、RSA-1024 强度不足——全部应替换为 AES/SHA-256/RSA-3072 或 ECC-256 等。,不再安全
Q085,多选,密码算法,基础,下列国密算法与国际算法的功能对应关系正确的有？,SM2 对应椭圆曲线公钥算法（如 ECDSA）,SM3 对应杂凑算法（如 SHA-256）,SM4 对应分组密码（如 AES）,SM9 对应标识密码（IBC）,ABCD,SM2 为 256 位椭圆曲线公钥算法、SM3 为 256 位杂凑、SM4 为 128 位分组、SM9 为基于双线性对的标识密码——四组对应均正确。,国密算法
Q086,多选,密码算法,基础,数字签名可以提供的安全属性包括？,完整性,认证,不可否认性,机密性,ABC,签名先哈希后用私钥签署、可公开验证、因此提供完整性与认证并具备不可否认性；机密性必须由加密提供、签名本身不加密。,数字签名
Q087,多选,密码算法,进阶,下列属于密码实现层面的著名事故的有？,Debian OpenSSL 随机数缺陷（2008）,PS3 ECDSA 固定 k（2010）,Infineon ROCA（2017）,Logjam 降级攻击,ABCD,四者分别说明随机数实现、签名 nonce、密钥生成与协议参数都可能出问题——密码实现审计需覆盖全部环节。,实现事故
Q088,多选,密码算法,进阶,NIST 后量子标准中属于数字签名算法的有？,ML-KEM,ML-DSA,SLH-DSA,HQC,BC,ML-DSA（FIPS 204）与 SLH-DSA（FIPS 205）是签名；ML-KEM 与 HQC 是密钥封装机制（KEM）、不是签名。,PQC 签名
Q089,多选,密码算法,进阶,后量子密码的主要技术路线包括当前仍然有效的？,格密码,哈希签名,纠错码,同源（Isogeny、代表 SIKE 已被攻破）,ABC,格（ML-KEM/ML-DSA）、哈希（SLH-DSA、LMS/XMSS）、纠错码（HQC、Classic McEliece）是当前有效路线；同源路线的 SIKE 于 2022 年被经典攻击攻破。,PQC 路线
Q090,多选,密码算法,进阶,后量子密码迁移的合理措施包括？,采用经典与后量子混合密钥交换（如 X25519MLKEM768）,建设密码敏捷性（crypto-agility）架构,盘点密码资产并按数据保密周期排定迁移优先级,立即废止全部传统算法并切断业务,ABC,迁移遵循混合过渡、敏捷架构与资产盘点三条主线；一刀切废止传统算法会切断业务、实际路线是分阶段替换（NIST 计划 2030 年弃用、2035 年禁用 RSA-2048 与 ECC P-256）。,后量子迁移
